track_key,tempo_period,color_index,theme_index,tempo_source,energy,updated_at
'til tuesday - voices carry,0.6,5,2,ai_prepop,dark,2026-08-16 05:19:38
*nsync - bye bye bye,0.6503641605377197,4,8,operator,fast,2026-08-16 05:19:38
*nsync - it's gonna be me,0.6,3,1,ai_prepop,fast,2026-08-16 05:19:38
*nsync - tearin' up my heart - radio edit,0.46153846153846156,4,1,ai_prepop,fast,2026-08-16 05:19:38
311 - amber,0.7058823529411765,9,0,ai_prepop,slow,2026-08-16 05:19:38
50 cent - in da club,0.6666666666666666,7,8,ai_prepop,fast,2026-08-16 05:19:38
"50 cent, olivia - candy shop",0.6451612903225806,9,8,operator,fast,2026-08-16 05:19:38
a tribe called quest - can i kick it?,0.6521739130434783,1,7,online,fast,2026-08-16 05:19:38
a tribe called quest - rap promoter,0.625,4,1,ai_prepop,fast,2026-08-16 05:19:38
a-ha - take on me,0.37035417556762695,5,11,operator,,2026-08-16 05:19:38
aaliyah - back & forth,1.271646499633789,1,6,operator,,2026-08-16 05:19:38
abba - mamma mia,0.4411764705882353,3,11,ai_prepop,fast,2026-08-16 05:19:38
ac/dc - are you ready,0.46153846153846156,7,9,ai_prepop,fast,2026-08-16 05:19:38
ac/dc - back in black,1.9550426006317139,3,8,operator,,2026-08-16 05:19:38
ac/dc - hells bells,1.2721033096313477,3,8,operator,,2026-08-16 05:19:38
ac/dc - thunderstruck,0.4355105559031169,0,3,operator,,2026-08-16 05:19:38
ac/dc - you shook me all night long,0.46875,3,4,ai_prepop,fast,2026-08-16 05:19:38
adam & the ants - stand and deliver,0.4,7,1,ai_prepop,fast,2026-08-16 05:19:38
aerosmith - sweet emotion,0.647233804066976,0,8,operator,,2026-08-16 05:19:38
air supply - all out of love,0.8571428571428571,9,7,ai_prepop,slow,2026-08-16 05:19:38
air supply - lost in love,0.8108108108108109,9,6,ai_prepop,slow,2026-08-16 05:19:38
alabama - dixieland delight,0.5769230769230769,7,1,ai_prepop,fast,2026-08-16 05:19:38
alice cooper - poison,0.5458640257517496,3,9,operator,,2026-08-16 05:19:38
alice in chains - bleed the freak,0.7894736842105263,9,5,ai_prepop,dark,2026-08-16 05:19:38
alice in chains - man in the box,0.5454545454545454,9,6,ai_prepop,dark,2026-08-16 05:19:38
alice in chains - would? (2022 remaster),0.5454545454545454,9,2,ai_prepop,dark,2026-08-16 05:19:38
annie lennox - walking on broken glass,0.5,4,4,ai_prepop,fast,2026-08-16 05:19:38
avril lavigne - complicated,0.5,3,8,ai_prepop,fast,2026-08-16 05:19:38
avril lavigne - sk8er boi,0.3922720750172933,8,1,operator,,2026-08-16 05:19:38
"axwell /\ ingrosso, axwell, sebastian ingrosso - dreamer",0.47619047619047616,4,9,ai_prepop,fast,2026-08-16 05:19:38
b*witched - c'est la vie,0.6,-1,-1,online,fast,2026-08-16 05:19:38
"b.o.b, bruno mars - nothin' on you (feat. bruno mars)",0.6,6,7,ai_prepop,slow,2026-08-16 05:19:38
"baby bash, frankie j - suga suga",2.0,4,5,operator,fast,2026-08-16 05:19:38
backstreet boys - i want it that way,2.0,4,1,operator,,2026-08-16 05:19:38
bananarama - venus,0.44776119402985076,3,1,ai_prepop,fast,2026-08-16 05:19:38
barry manilow - copacabana (at the copa),0.5095805327097574,3,2,operator,,2026-08-16 05:19:38
"bee gees - stayin' alive - from ""saturday night fever"" soundtrack",0.5825242718446602,3,8,ai_prepop,fast,2026-08-16 05:19:38
ben e. king - stand by me,1.0000441869099934,3,7,operator,,2026-08-16 05:19:38
"berlin - take my breath away - love theme from ""top gun""",0.7894736842105263,6,12,online,slow,2026-08-16 05:19:38
beyoncé - halo,0.7267824014027914,6,2,operator,,2026-08-16 05:19:38
beyoncé - single ladies (put a ring on it),0.6185567010309279,4,1,ai_prepop,fast,2026-08-16 05:19:38
"beyoncé, jay-z - crazy in love (feat. jay-z)",0.5693099498748779,4,2,operator,,2026-08-16 05:19:38
"big pun, joe - still not a player (feat. joe)",0.6185567010309279,7,1,ai_prepop,fast,2026-08-16 05:19:38
bill haley & his comets - (we're gonna) rock around the clock - single version,0.3333333333333333,3,11,ai_prepop,fast,2026-08-16 05:19:38
"bill medley, jennifer warnes - (i've had) the time of my life - from ""dirty dancing"" soundtrack",0.5,1,0,ai_prepop,slow,2026-08-16 05:19:38
billy joel - it's still rock and roll to me,0.4225352112676056,3,9,ai_prepop,fast,2026-08-16 05:19:38
billy joel - piano man,1.0402454535166423,5,5,operator,,2026-08-16 05:19:38
billy joel - uptown girl,0.5263157894736842,7,8,ai_prepop,fast,2026-08-16 05:19:38
